Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Part Number,Sheetpath,Digikey P/N,Manufacturer,Function
1,"Unpolarized capacitor, small symbol",C_Small,C103 C104 C110 C111 C407 C408,9.1pF,C_0402_NoSilk,6,https://api.kemet.com/component-edge/download/datasheet/C0402C919C5GAC7867.pdf,C0402C919C5GAC7867,/,399-14287-1-ND,KEMET,
2,Unpolarized capacitor,C,C203 C204 C213 C216 C303,4700pF,C_0603,5,https://api.kemet.com/component-edge/download/specsheet/C0603C472K5RACAUTO.pdf,C0603C472K5RACAUTO,/External Interface/,399-6896-1-ND,KEMET,
3,"Unpolarized capacitor, small symbol",C_Small,C102 C105 C106 C107 C108 C205 C206 C207 C208 C209 C210 C211 C214 C305 C315 C316 C402 C403 C405 C406 C502 C504 C505,0.1uF,C_0603,23,https://api.kemet.com/component-edge/download/specsheet/C0603C104K5RACAUTO.pdf,C0603C104K5RACAUTO,/,399-6856-1-ND,KEMET,
4,"Unpolarized capacitor, small symbol",C_Small,C109 C201 C202 C212 C215 C314 C317 C319 C320 C322 C323 C401 C404 C501 C506 C507,1uF,C_0603,16,https://api.kemet.com/component-edge/download/specsheet/C0603C472K5RACAUTO.pdf,C0603C105K4RACAUTO,/,399-17704-1-ND,KEMET,
5,Unpolarized capacitor,C,C302 C306 C310,2.2uF,C_1206,3,https://api.kemet.com/component-edge/download/specsheet/C1206C225K5RACAUTO.pdf,C1206C225K5RACAUTO,/Power/,399-7019-1-ND,KEMET,
6,"Unpolarized capacitor, small symbol",C_Small,C101 C313 C318 C321 C324,10uF,C_1206,5,https://api.kemet.com/component-edge/download/datasheet/C1206C106K4RACAUTO.pdf,C1206C106K4RACAUTO,/,399-7012-1-ND,KEMET,CAP CER 10UF 25V X5R 1206
7,Unpolarized capacitor,C,C301 C307 C309 C311,22uF,CP_Radial_D5.0mm_P2.00mm,4,https://api.kemet.com/component-edge/download/specsheet/ESK226M050AC3AA.pdf,ESK226M050AC3AA,/Power/,399-6108-ND,KEMET,
8,Unpolarized capacitor,C,C308 C312,100uF,CP_Radial_D5.0mm_P2.00mm,2,https://api.kemet.com/component-edge/download/datasheet/ESK107M016AC3AA.pdf,ESK107M016AC3AA,/Power/,399-6601-ND,KEMET,
9,Diode,D,D301 D401,D,D_SOD-123F,2,https://www.diodes.com/assets/Datasheets/MBR230S1F.pdf,MBR230S1F-7,/Power/,MBR230S1F-7DICT-ND,Diodes Inc,
10,Bidirectional transient-voltage-suppression diode,D_TVS,D302,D_TVS,R_0603,1,https://www.ti.com/lit/ds/symlink/tpd1e10b06.pdf,TPD1E10B06DPYR,/Power/,296-30406-1-ND,TI,
11,"Light emitting diode, small symbol",LED_Small,D534 D535 D536 D537,LCB G6SP-DBFA-4J5L-0-140-R18-Z,LCB_G6SP,4,https://dammedia.osram.info/media/resource/hires/osram-dam-6030625/LCB%20G6SP_EN.pdf,LCB G6SP-DBFA-4J5L-0-140-R18-Z,/Display/,475-3674-1-ND,OSRAM,Shift_1 Shift_2 Shift_3 Shift_4
